Label,DAPI,Gfap,Aif1,Rbfox3,AVP,Oxt,ESR1,Gnth1,GPR173,Kiss1R,Kiss1,SMIM20,PgR,Arcuate,VMH,Medial Amygdaloid Nucleus,Lateral Hypothalamic Area,Dorsomedial Hypothalamic Area (Diffuse),Median Eminence
Mean1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean4,35.615,0,0,0.5,0,0,0.423,0,0,0.019,0,0,0,0,0,0,0,0,0
Mean5,58.589,0,1.342,2.63,0,0,0,0,0,0.082,0.466,0,1.452,0,0,0,0,0,0
Mean6,143.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean7,37.789,0,13.421,4.079,0,0,0.447,0.289,3.079,3.684,0,0,0,0,0,0,0,0,0
Mean8,20.667,0,27.792,17.417,0,3.125,2.833,1.646,13.188,4.958,0,2.271,7.562,0,0,0,0,0,0
Mean9,77.28,12.336,36.486,3.85,0.009,2.065,1.336,0,2.374,3.664,1.85,19.626,5.748,0,0,0,0,0,0
Mean10,37.356,0,0,2.559,0,0,0,0,0,0,0,0,18.983,0,0,0,0,0,0
Mean11,60.596,9.596,4.162,1.202,0,0.02,0,0,0,0.253,0.707,2.091,0,0,0,0,0,0,0
Mean12,42.514,16.229,16.814,4.557,0.329,0,0,0,0.214,0,0.371,13.529,42.271,0,0,0,0,0,0
Mean13,49.361,0.819,3.072,1.145,0,0.133,0,0,0,0,0.048,1.024,0,0,0,0,0,0,0
Mean14,121,0,0,27,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0
Mean15,54.314,0.952,6.352,1.248,0,1.343,0,0,0,0.095,0.01,0,4.01,0,0,0,0,0,0
Mean16,62.08,2.73,6.67,2.44,0.04,1.1,0,0,0,0,1.16,0.85,0,0,0,0,0,0,0
Mean17,16.238,40.302,46.397,1.286,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0
Mean18,21.932,44.616,27.411,2.562,0.562,3.973,0,0.452,0,1.534,0.014,0,0,0,0,0,0,0,0
Mean19,38.098,5.413,1.489,0,0,0,0,0,0.217,0,0.239,0,0.217,0,0,0,0,0,0
Mean20,57.983,0,10.625,3.383,0,0.117,0,0,0,0,0.05,0.2,10.383,0,0,0,0,0,0
Mean21,42.72,39.16,9.416,1.168,0.24,0.632,0.008,0.184,0,0.208,0.592,0,0.336,0,0,0,0,0,0
Mean22,80.714,6.735,19.72,4.011,0,0.169,0.048,0,0,0.085,0.063,0.513,2.566,0,0,0,0,0,0
Mean23,51.993,2.044,11.044,0.97,0,0,0.274,0,0,0,0.444,6.03,4.993,0,0,0,0,0,0
Mean24,40.347,0,1.7,0.633,0,0,0,0.133,0,0.113,0.213,2.353,0.613,0,0,0,0,0,0
Mean25,69.469,62.441,37.745,10.372,0.007,5.069,4.91,0,0.876,2.731,0.248,0,2.972,0,0,0,0,0,0
Mean26,101.277,10.16,130.864,21.831,5.404,41.366,9.789,4.019,91.207,10.333,16.554,53.615,6.554,0,0,0,0,0,0
Mean27,53.134,0.269,5.801,0.898,0.005,0.075,0,0,0,0,0.027,0.586,0.806,0,0,0,0,0,0
Mean28,60.569,0,0,0.431,0,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0
Mean29,79.771,13.673,7.596,3.391,0.34,0.811,0.209,0.519,0.7,0.838,0.694,0,0.502,0,0,0,0,0,0
Mean30,99.628,4.407,14.466,1.425,0,0,0,0,0,0,0.068,0,3.23,0,0,0,0,0,0
Mean31,80.919,0,1.324,1.086,0,0,0.018,0,0,0.162,1.027,3.171,7.82,0,0,0,0,0,0
